arquivo,aba,tipo,linhas_lidas,colunas_lidas,colunas_ano_produto,linhas_extraidas,grupo,fonte,encoding,header_linha,data_min,data_max,anos
tabela1984ate1989.xlsx,Área plantada (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Área plantada - percentual d...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Área colhida (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Área colhida - percentual do...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Quantidade produzida (Tonela...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Rendimento médio da produção...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Valor da produção,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Valor da produção - percentu...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1984ate1989.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Área plantada (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Área plantada - percentual d...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Área colhida (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Área colhida - percentual do...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Quantidade produzida (Tonela...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Rendimento médio da produção...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Valor da produção,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Valor da produção - percentu...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1991ate1995.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Área plantada (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Área plantada - percentual d...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Área colhida (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Área colhida - percentual do...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Quantidade produzida (Tonela...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Rendimento médio da produção...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Valor da produção (Mil Reais),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Valor da produção - percentu...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela1996ate2001.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Área plantada (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Área plantada - percentual d...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Área colhida (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Área colhida - percentual do...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Quantidade produzida (Tonela...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Rendimento médio da produção...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Valor da produção (Mil Reais),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Valor da produção - percentu...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2002ate2006.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Área plantada (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Área plantada - percentual d...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Área colhida (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Área colhida - percentual do...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Quantidade produzida (Tonela...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Rendimento médio da produção...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Valor da produção (Mil Reais),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Valor da produção - percentu...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2008ate2013.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Área plantada (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Área plantada - percentual d...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Área colhida (Hectares),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Área colhida - percentual do...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Quantidade produzida (Tonela...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Rendimento médio da produção...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Valor da produção (Mil Reais),produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Valor da produção - percentu...,produtividade,5570,64.0,60.0,120.0,produtividade,,,,,,
tabela2014ate2019.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela20242025.xlsx,Área plantada (Hectares),produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Área plantada - percentual d...,produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Área colhida (Hectares),produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Área colhida - percentual do...,produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Quantidade produzida (Tonela...,produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Rendimento médio da produção...,produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Valor da produção (Mil Reais),produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Valor da produção - percentu...,produtividade,5570,24.0,20.0,40.0,produtividade,,,,,,
tabela20242025.xlsx,Notas,notas,23,3.0,,21.0,produtividade,,,,,,
tabela22-21-20.xlsx,Área plantada (Hectares),produtividade,5570,34.0,30.0,60.0,produtividade,,,,,,
tabela22-21-20.xlsx,Área plantada - percentual d...,produtividade,5570,34.0,30.0,60.0,produtividade,,,,,,
tabela22-21-20.xlsx,Área colhida (Hectares),produtividade,5570,34.0,30.0,60.0,produtividade,,,,,,
tabela22-21-20.xlsx,Área colhida - percentual do...,produtividade,5570,34.0,30.0,60.0,produtividade,,,,,,
tabela22-21-20.xlsx,Quantidade produzida (Tonela...,produtividade,5570,34.0,30.0,60.0,produtividade,,,,,,
tabela22-21-20.xlsx,Rendimento médio da produção...,produtividade,5570,34.0,30.0,60.0,produtividade,,,,,,
