split,year,planting_label,planting_date,raw_yield_kg_ha,observed_yield_kg_ha,rain_mm,irrigation_mm,planting_doy,temp_mean_c,srad_mj_m2_day,corrected_yield_kg_ha,raw_abs_error,corrected_abs_error
train,2006,sep25,2006-09-25,5253.0,3000.0,522.0,60.0,268,19.411367828482454,17.597551637955803,3368.0910224001727,2253.0,368.09102240017273
train,2006,oct05,2006-10-05,5294.0,3000.0,505.0,60.0,278,19.411367828482454,17.597551637955803,3367.3348211057787,2294.0,367.3348211057787
train,2006,oct15,2006-10-15,5302.0,3000.0,478.0,80.0,288,19.411367828482454,17.597551637955803,3361.216977675413,2302.0,361.2169776754131
train,2006,oct25,2006-10-25,5222.0,3000.0,451.0,100.0,298,19.411367828482454,17.597551637955803,3356.6834140483797,2222.0,356.68341404837975
train,2006,nov05,2006-11-05,5085.0,3000.0,388.0,100.0,309,19.411367828482454,17.597551637955803,3358.471378247975,2085.0,358.4713782479748
train,2007,sep25,2007-09-25,1918.0,3300.0,99.0,120.0,268,19.015097528463066,17.963253135215215,3410.676498449482,1382.0,110.6764984494821
train,2007,oct05,2007-10-05,1920.0,3300.0,115.0,120.0,278,19.015097528463066,17.963253135215215,3410.40148819057,1380.0,110.40148819057003
train,2007,oct15,2007-10-15,2500.0,3300.0,158.0,120.0,288,19.015097528463066,17.963253135215215,3403.668845767922,800.0,103.668845767922
train,2007,oct25,2007-10-25,3053.0,3300.0,171.0,120.0,298,19.015097528463066,17.963253135215215,3397.3252029647015,247.0,97.32520296470148
train,2007,nov05,2007-11-05,3496.0,3300.0,166.0,120.0,309,19.015097528463066,17.963253135215215,3392.0614886118715,196.0,92.06148861187148
train,2008,sep25,2008-09-25,5052.0,3126.0,844.0,40.0,269,18.691534914361004,18.07930991735537,3419.886244047557,1926.0,293.88624404755683
train,2008,oct05,2008-10-05,5170.0,3126.0,797.0,40.0,279,18.691534914361004,18.07930991735537,3416.4214573373324,2044.0,290.4214573373324
train,2008,oct15,2008-10-15,5185.0,3126.0,778.0,60.0,289,18.691534914361004,18.07930991735537,3407.7430817589398,2059.0,281.74308175893975
train,2008,oct25,2008-10-25,5257.0,3126.0,776.0,60.0,299,18.691534914361004,18.07930991735537,3406.530384164139,2131.0,280.5303841641389
train,2008,nov05,2008-11-05,5236.0,3126.0,757.0,60.0,310,18.691534914361004,18.07930991735537,3405.973994777766,2110.0,279.97399477776617
train,2009,sep25,2009-09-25,4925.0,2578.0,566.0,80.0,268,19.513722451790635,16.358971074380165,3446.101802221618,2347.0,868.1018022216181
train,2009,oct05,2009-10-05,5036.0,2578.0,563.0,100.0,278,19.513722451790635,16.358971074380165,3438.469372135425,2458.0,860.4693721354251
train,2009,oct15,2009-10-15,4793.0,2578.0,522.0,100.0,288,19.513722451790635,16.358971074380165,3441.68631130112,2215.0,863.68631130112
train,2009,oct25,2009-10-25,4412.0,2578.0,398.0,120.0,298,19.513722451790635,16.358971074380165,3441.6578254291294,1834.0,863.6578254291294
train,2009,nov05,2009-11-05,3809.0,2578.0,392.0,120.0,309,19.513722451790635,16.358971074380165,3449.1711191765803,1231.0,871.1711191765803
train,2010,sep25,2010-09-25,5409.0,3245.0,1024.0,0.0,268,18.772781157138862,17.097149173553717,3499.4006610997976,2164.0,254.40066109979762
train,2010,oct05,2010-10-05,5320.0,3245.0,949.0,0.0,278,18.772781157138862,17.097149173553717,3496.0479978095354,2075.0,251.04799780953545
train,2010,oct15,2010-10-15,5340.0,3245.0,925.0,0.0,288,18.772781157138862,17.097149173553717,3494.3084069417264,2095.0,249.3084069417264
train,2010,oct25,2010-10-25,5135.0,3245.0,936.0,0.0,298,18.772781157138862,17.097149173553717,3497.824318491157,1890.0,252.8243184911571
train,2010,nov05,2010-11-05,5015.0,3245.0,867.0,0.0,309,18.772781157138862,17.097149173553717,3495.1558343536544,1770.0,250.15583435365443
train,2011,sep25,2011-09-25,5677.0,3496.0,610.0,60.0,268,18.47582304526749,19.074843621399175,3463.4592961282724,2181.0,32.5407038717276
train,2011,oct05,2011-10-05,5925.0,3496.0,684.0,60.0,278,18.47582304526749,19.074843621399175,3461.6647089810226,2429.0,34.33529101897739
train,2011,oct15,2011-10-15,5826.0,3496.0,632.0,60.0,288,18.47582304526749,19.074843621399175,3461.8811563188483,2330.0,34.1188436811517
train,2011,oct25,2011-10-25,5857.0,3496.0,619.0,40.0,298,18.47582304526749,19.074843621399175,3467.571076098976,2361.0,28.428923901024064
train,2011,nov05,2011-11-05,5695.0,3496.0,582.0,60.0,309,18.47582304526749,19.074843621399175,3462.3739850113957,2199.0,33.62601498860431
train,2012,sep25,2012-09-25,4062.0,3546.0,570.0,40.0,269,19.095871934311003,14.985118394975308,3553.1901075816977,516.0,7.190107581697703
train,2012,oct05,2012-10-05,3815.0,3546.0,556.0,20.0,279,19.095871934311003,14.985118394975308,3562.147334747278,269.0,16.14733474727791
