alpha,validation_intercept_adjustment,train_mae,train_rmse,train_r2,train_n,train_alpha,valid_mae,valid_rmse,valid_mape_percent,valid_bias,valid_n,valid_bias_corrected_mae,valid_bias_corrected_rmse,valid_bias_corrected_mape_percent,valid_bias_corrected_bias,valid_bias_corrected_n
0.05,-137.29695600390994,103.73492972926715,142.35667368903376,0.8425467784229406,60,0.05,375.04530176784476,392.69917055772277,9.990332238310678,137.29695600390994,4,306.39682376588974,367.9160018656213,8.202768933915426,-1.1368683772161603e-13,4
0.1,-201.14304588811683,112.68466347049758,151.95043016393262,0.8206093699003302,60,0.1,392.7445307452649,405.3818104007983,10.443630278731868,201.14304588811683,4,292.1730078012065,351.9600649145862,7.824810909177541,0.0,4
0.5,-322.8438500290051,142.13745641652605,184.3726298603748,0.7358876019938376,60,0.5,404.0213786104671,440.0695057661407,10.712761113470998,322.8438500290051,4,242.59945359596463,299.0535376879942,6.50943544509203,2.2737367544323206e-13,4
1.0,-338.1161622709594,150.6381899707725,195.28428473651266,0.7037008004111283,60,1.0,385.32918462593693,434.7323557185252,10.218307717189637,338.1161622709594,4,224.78612913683287,273.2575377180592,6.026388880359127,-2.2737367544323206e-13,4
2.5,-332.287190973528,156.06367837101624,204.73122353925726,0.6743402753134293,60,2.5,346.2804463997319,411.2945745081556,9.19672412789055,332.287190973528,4,209.5439923539717,242.38079489672214,5.596551380091823,-1.1368683772161603e-13,4
5.0,-312.3893107714549,157.5270343234267,209.8531625897536,0.6578418218686672,60,5.0,312.3893107714549,383.3165372642665,8.315321584209943,312.3893107714549,4,199.21108762426354,222.1361885330781,5.301163521660881,1.1368683772161603e-13,4
10.0,-276.0318922836683,157.34968821042594,215.3188375511715,0.639786537007699,60,10.0,276.0318922836683,342.7226167754723,7.372271794516835,276.0318922836683,4,186.53885907460074,203.1383432336805,4.94359288269597,1.1368683772161603e-13,4
25.0,-191.62470820724718,161.4872417699848,227.33272315404557,0.5984683383324481,60,25.0,191.62470820724718,260.67255530631616,5.161863577588437,191.62470820724718,4,162.10299089169837,176.72054859130506,4.269188046180648,-1.1368683772161603e-13,4
50.0,-96.24995274739888,182.19818431997433,243.0951657405045,0.5408564028286298,60,50.0,142.04817253309045,184.57341378547812,3.7852470328512897,96.24995274739888,4,139.78363831995705,157.49060820426342,3.659986279143125,1.1368683772161603e-13,4
100.0,18.727543956927434,205.9543644096918,264.7417602231501,0.4554462015951496,60,100.0,120.29815348545628,145.32446404006234,3.1162340710052283,-18.727543956927434,4,120.29815348545628,144.11272999243587,3.1288565731049927,1.1368683772161603e-13,4
200.0,136.3960262478754,227.66082760987968,289.4513421100758,0.3490509121531644,60,200.0,149.57755397132223,194.47669438055505,3.8235644572532217,-136.3960262478754,4,109.05874292968133,138.6265078582617,2.819948681036004,0.0,4
300.0,198.61917644850223,238.0221277650975,303.5858147789363,0.2839244625621975,60,300.0,198.61917644850223,241.96617022458676,5.104266765486503,-198.61917644850223,4,112.64085505433877,138.19569559169497,2.911203981902144,0.0,4
500.0,264.5758866989157,249.8067117800853,319.42047409941875,0.20727713055821728,60,500.0,264.5758866989157,298.9524849362122,6.839179335648511,-264.5758866989157,4,116.41778092962988,139.18400923604239,3.0077073244358985,1.1368683772161603e-13,4
