ano,observed_yield_kg_ha
1984,2170.0
1985,2360.0
1986,2120.0
1987,2341.0
1988,2480.0
1989,2200.0
1990,2300.0
1991,2500.0
1992,2700.0
1993,3000.0
1994,2800.0
1995,2800.0
1996,2800.0
1997,2700.0
1998,2800.0
1999,2907.0
2000,3000.0
2001,3200.0
2002,3150.0
2003,3400.0
2004,3098.0
2005,3150.0
2006,3000.0
2007,3300.0
2008,3126.0
2009,2578.0
2010,3245.0
2011,3496.0
2012,3546.0
2013,3690.0
2014,3542.0
2015,3727.0
2016,3381.0
2017,4000.0
2018,3750.0
2019,3700.0
2023,4154.0
2024,3827.0
2020,4050.0
2021,3700.0
2022,3923.0
1974,1929.0
1975,2100.0
1976,2008.0
1977,2240.0
1978,1765.0
1979,2000.0
1980,1999.0
1981,2200.0
1982,2134.0
1983,2364.0
1990,2300.0
2007,3300.0
2023,4154.0
